NombreBeca,Institucion,AnioBecariosConfirmados,Departamento,Carrera,Modalidad,Estrato_socioeconomico,TipoUniversidad,Estado,Quintil,NotaMinima,Fuente,TipoInstitucion,Region,CodigoBeca,Ubicacion,Categoria,Cobertura,URL_Oficial,Migracion
Beca 18,Universidad Católica de Santa María,2025,Arequipa,Todas las carreras elegibles,EIB,Variable,Privada,Licenciada,3.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Católica de Santa María,2025,Arequipa,Todas las carreras elegibles,Protección,Variable,Privada,Licenciada,3.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Católica de Santa María,2025,Arequipa,Todas las carreras elegibles,CNA y PA,Variable,Privada,Licenciada,3.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Católica de Santa María,2025,Arequipa,Todas las carreras elegibles,FF.AA.,Variable,Privada,Licenciada,3.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Católica de Santa María,2025,Arequipa,Todas las carreras elegibles,Repared,Víctimas de violencia,Privada,Licenciada,3.0,Nota mínima de 12.0,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Católica San Pablo,2025,Arequipa,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Privada,Licenciada,2.0,Tercio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Católica San Pablo,2025,Arequipa,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Privada,Licenciada,2.0,Tercio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Católica San Pablo,2025,Arequipa,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Privada,Licenciada,2.0,Tercio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Católica San Pablo,2025,Arequipa,Todas las carreras elegibles,EIB,Variable,Privada,Licenciada,2.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Católica San Pablo,2025,Arequipa,Todas las carreras elegibles,Protección,Variable,Privada,Licenciada,2.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Católica San Pablo,2025,Arequipa,Todas las carreras elegibles,CNA y PA,Variable,Privada,Licenciada,2.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Católica San Pablo,2025,Arequipa,Todas las carreras elegibles,FF.AA.,Variable,Privada,Licenciada,2.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Católica San Pablo,2025,Arequipa,Todas las carreras elegibles,Repared,Víctimas de violencia,Privada,Licenciada,2.0,Nota mínima de 12.0,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Nacional de San Agustín,2025,Arequipa,Según modalidad,Ordinaria,Variable según modalidad,,,,,,Pública,Arequipa,beca_18,,,,,Posible migración
Beca 18,Universidad Católica de Santa María,2025,Arequipa,Según modalidad,Ordinaria,Variable según modalidad,,,,,,Privada,Arequipa,beca_18,,,,,Posible migración
Beca 18,Universidad Católica San Pablo,2025,Arequipa,Según modalidad,Ordinaria,Variable según modalidad,,,,,,Privada,Arequipa,beca_18,,,,,Posible migración
Beca 18,Universidad Nacional de San Cristóbal de Huamanga,2025,Ayacucho,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Pública,Licenciada,5.0,Tercio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Nacional de San Cristóbal de Huamanga,2025,Ayacucho,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Pública,Licenciada,5.0,Tercio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Nacional de San Cristóbal de Huamanga,2025,Ayacucho,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Pública,Licenciada,5.0,Tercio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Nacional de San Cristóbal de Huamanga,2025,Ayacucho,Todas las carreras elegibles,EIB,Variable,Pública,Licenciada,5.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Nacional de San Cristóbal de Huamanga,2025,Ayacucho,Todas las carreras elegibles,Protección,Variable,Pública,Licenciada,5.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Nacional de San Cristóbal de Huamanga,2025,Ayacucho,Todas las carreras elegibles,CNA y PA,Variable,Pública,Licenciada,5.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Nacional de San Cristóbal de Huamanga,2025,Ayacucho,Todas las carreras elegibles,FF.AA.,Variable,Pública,Licenciada,5.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Nacional de San Cristóbal de Huamanga,2025,Ayacucho,Todas las carreras elegibles,Repared,Víctimas de violencia,Pública,Licenciada,5.0,Nota mínima de 12.0,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Nacional de San Cristóbal de Huamanga,2025,Ayacucho,Según modalidad,Ordinaria,Variable según modalidad,,,,,,Pública,Ayacucho,beca_18,,,,,Posible migración
Beca 18,Universidad Nacional de San Cristóbal de Huamanga,2025,Ayacucho,Según modalidad,EIB,Variable según modalidad,,,,,,Pública,Ayacucho,beca_18,,,,,Posible migración
Beca 18,Universidad Nacional de San Cristóbal de Huamanga,2025,Ayacucho,Según modalidad,Vraem,Variable según modalidad,,,,,,Pública,Ayacucho,beca_18,,,,,Posible migración
Beca 18,Universidad Católica Santo Toribio de Mogrovejo,2025,Chiclayo,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Privada,Licenciada,3.0,Tercio superior,Lista oficial PRONABEC 2025,,,,,,,,Internacional
Beca 18,Universidad Católica Santo Toribio de Mogrovejo,2025,Chiclayo,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Privada,Licenciada,3.0,Tercio superior,Lista oficial PRONABEC 2025,,,,,,,,Internacional
Beca 18,Universidad Católica Santo Toribio de Mogrovejo,2025,Chiclayo,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Privada,Licenciada,3.0,Tercio superior,Lista oficial PRONABEC 2025,,,,,,,,Internacional
Beca 18,Universidad Católica Santo Toribio de Mogrovejo,2025,Chiclayo,Todas las carreras elegibles,EIB,Variable,Privada,Licenciada,3.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Internacional
Beca 18,Universidad Católica Santo Toribio de Mogrovejo,2025,Chiclayo,Todas las carreras elegibles,Protección,Variable,Privada,Licenciada,3.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Internacional
Beca 18,Universidad Católica Santo Toribio de Mogrovejo,2025,Chiclayo,Todas las carreras elegibles,CNA y PA,Variable,Privada,Licenciada,3.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Internacional
Beca 18,Universidad Católica Santo Toribio de Mogrovejo,2025,Chiclayo,Todas las carreras elegibles,FF.AA.,Variable,Privada,Licenciada,3.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Internacional
Beca 18,Universidad Católica Santo Toribio de Mogrovejo,2025,Chiclayo,Todas las carreras elegibles,Repared,Víctimas de violencia,Privada,Licenciada,3.0,Nota mínima de 12.0,Lista oficial PRONABEC 2025,,,,,,,,Internacional
Beca 18,Universidad Señor de Sipán,2025,Chiclayo,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Privada,Licenciada,3.0,Tercio superior,Lista oficial PRONABEC 2025,,,,,,,,Internacional
Beca 18,Universidad Señor de Sipán,2025,Chiclayo,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Privada,Licenciada,3.0,Tercio superior,Lista oficial PRONABEC 2025,,,,,,,,Internacional
Beca 18,Universidad Señor de Sipán,2025,Chiclayo,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Privada,Licenciada,3.0,Tercio superior,Lista oficial PRONABEC 2025,,,,,,,,Internacional
Beca 18,Universidad Señor de Sipán,2025,Chiclayo,Todas las carreras elegibles,EIB,Variable,Privada,Licenciada,3.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Internacional
Beca 18,Universidad Señor de Sipán,2025,Chiclayo,Todas las carreras elegibles,Protección,Variable,Privada,Licenciada,3.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Internacional
Beca 18,Universidad Señor de Sipán,2025,Chiclayo,Todas las carreras elegibles,CNA y PA,Variable,Privada,Licenciada,3.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Internacional
